,review,rating
302,Kualitas produk bagus. Jahitannya rapi. Nyaman dipakai.,5
303,Produk sesuai deskripsi,5
304,Kualitas produk bagus. Nyaman dipakai. Tidak menerawang. Ukuran sesuai. Jahitannya rapi. Warnanya mantap. Bahan menyerap keringat. Modelnya keren 😎. Bahannya adem. Bahannya lembut.,5
305,Kualitas produk bagus Jahitannya rapi Ukuran sesuai Nyaman dipakai,5
306,Langsung dipake ke gunung wkwk,5
307,Kualitas produk bagus. Jahitannya rapi. Ukuran sesuai. Nyaman dipakai. Modelnya keren 😎. Warnanya mantap. Bahannya adem. Tidak menerawang. Bahan menyerap keringat. Bahannya lembut.,5
308,mantap banget ga pake lama dan barang nya recommended deh,5
309,Kualitas produk bagus. Nyaman dipakai.,5
310,Kualitas produk bagus. Modelnya keren 😎. Jahitannya rapi. Warnanya mantap. Bahan menyerap keringat. Tidak menerawang. Nyaman dipakai. Ukuran sesuai. Bahannya lembut. Bahannya adem.,5
311,Nyaman dipakai. Kualitas produk bagus.,5
312,Kualitas produk bagus,5
313,Kualitas produk bagus Tidak menerawang Bahan menyerap keringat Bahannya adem Modelnya keren 😎 Jahitannya rapi Nyaman dipakai Warnanya mantap Ukuran sesuai Bahannya lembut,5
314,Guriih guriih enyooi,5
315,Kualitas produk bagus Jahitannya rapi Bahannya adem,5
316,"Kualitas produk bagus , Jahitannya rapi, Modelnya keren 😎, Bahannya adem, Bahannya lembut, Tidak menerawang",5
317,Nyaman dipakai. Bahannya adem. Tidak menerawang. Bahannya lembut. Kualitas produk bagus.,5
318,Ukuran sesuai.,4
319,Ukuran sesuai.,5
320,Kualitas produk bagus. Nyaman dipakai. Bahannya adem. Bahannya lembut.,5
321,Nyaman dipakai.,5
322,"harga terjangkau, produk sangat baik, pengiriman cepat, packing aman, terima kasih. selalu sehat.",5
323,"Bahan bagus 
Pengiriman cpt",5
324,Kualitas produk bagus. Modelnya keren 😎.,5
325,Ukuran sesuai. Jahitannya rapi. Bahannya adem.,5
326,Kualitas produk bagus.,5
327,Kualitas produk bagus. Ukuran sesuai. Nyaman dipakai.,5
328,Kualitas produk bagus. Jahitannya rapi. Modelnya keren 😎. Bahannya adem. Warnanya mantap. Ukuran sesuai. Bahannya lembut. Bahan menyerap keringat. Nyaman dipakai. Tidak menerawang.,5
329,bagust,5
330,Kualitas produk bagus.,5
331,Sipaling bisa diandalkan 👌,5
332,Warnanya mantap,4
333,Kualitas produk bagus.,5
334,"bahannya tebel, nyaman juga di pake",5
335,Ukuran sesuai. Warnanya mantap. Kualitas produk bagus. Bahannya lembut.,5
336,Bahannya tebal. Saya tinggi 175 bb 83 niat beli kaos oversize karena biar muat dibadan. ternyata kebesaran saya milih yg XL mungkin lain kali L aja cukup ya 😁.,5
337,Jahitannya rapi,5
338,Good,5
339,"Kren banget, bahan nyamannnKualitas produk bagus. Jahitannya rapi. Modelnya keren 😎.",5
340,Suka bajunya. Tapi agak panjang di lengannya. Dan warnanya kurang lite ternyata,5
341,"Harga murah dan bahannya adem, enak banget, beli lagi ah warna lain wkwk",5
342,Kualitas produk bagus,5
343,"ok ajalah,",4
344,Kualitas produk bagus. Nyaman dipakai. Jahitannya rapi. Ukuran sesuai. Warnanya mantap. Bahannya adem. Modelnya keren 😎. Bahannya lembut.,5
345,"bagussss, dapet stiker jugaaa, thank youuuu (｢`･ω･)｢",5
346,Kualitas produk bagus,5
347,Kualitas produk bagus. Bahannya adem. Warnanya mantap. Nyaman dipakai.,5
348,Kualitas produk bagus. Modelnya keren 😎.,5
349,Kualitas produk bagus.,5
350,mantap bahan bagus 👍👍👍👍,5
351,"Sudah pembelian ke 10 x.....selalu puas. Admin responnya mantap
Kualitas produk bagus.",5
352,Kualitas produk bagus. Nyaman dipakai. Ukuran sesuai.,5
353,Kualitas produk bagus. Nyaman dipakai. Jahitannya rapi. Bahannya adem. Tidak menerawang. Bahannya lembut. Bahan menyerap keringat.,5
354,Jahitannya rapi.,5
355,mantap barangnya. Modelnya keren 😎. Nyaman dipakai.,5
356,"Mantap barang keren, sesuai pesanan",5
357,Kualitas produk bagus. Modelnya keren 😎. Tidak menerawang. Nyaman dipakai. Bahan menyerap keringat.,5
358,"ada 1 baju yang beda ukuran, jadinya lebih gede. M rasa L",4
359,Kualitas produk bagus. Nyaman dipakai. Modelnya keren 😎. Warnanya mantap. Bahannya adem. Jahitannya rapi.,5
360,gg gaming xl tapi cocok buat berat 80 tinggi 178Kualitas produk bagusNyaman dipakai.,5
361,Kualitas produk bagus. Modelnya keren 😎. Jahitannya rapi. Ukuran sesuai. Bahannya adem. Tidak menerawang. Bahannya lembut. Nyaman dipakai. Bahan menyerap keringat. Abang kurirnya ramah,5
362,"cutting kurang bagus. di badan kurang oversize, di tangan gede amat kaya rok. ga lagi deh beli.",3
363,bahannya lumayan bagus,5
364,Kualitas produk bagus. Modelnya keren 😎. Warnanya mantap. Bahannya adem. Nyaman dipakai.,5
365,Kualitas produk bagus. Nyaman dipakai. Bahannya adem.,5
366,"Bagus , sesuai, cepat. Thanks gan 🙏🙏🙏",5
367,"Kualitas produk bagus. Jahitannya rapi. Ukuran sesuai. Nyaman dipakai. Modelnya keren 😎. Warnanya mantap. Bahannya adem. Tidak menerawang. Bahan menyerap keringat. Bahannya lembut. 
toko ini akan jadi langganan 👍👍👍👍👍👍👍👍👍👍",5
368,yang kusuka pesanan cepat sampenya,5
369,"bahannya bagus, enakeun dipakenya. pas cucok 👍👍",5
370,Kualitas produk bagus. Jahitannya rapi.,4
371,Bahan enak dan bagus!,5
372,Nyaman dipakai.,5
373,Kualitas produk bagus. Jahitannya rapi.,5
374,"bahannya bagus, nyaman 👍",5
375,Kualitas produk bagus.,5
376,bagus tapi lingkar lehernya gede banget kaya udah lama gitu hahaha. sorry 4 dulu ya,4
377,"baju sesuai dengan harapan, bahan juga tidak murahan. diberi sticker menjadi nilai plus! recommended sukses",5
378,Kualitas produk bagus.Nyaman dipakai. Jahitannya rapi. Tidak menerawang. Bahannya lembut. Bahannya adem. Ukuran sesuai. Warnanya mantap.,5
379,Kualitas produk bagus. Nyaman dipakai. Tidak menerawang. Ukuran sesuai. Jahitannya rapi. Warnanya mantap. Bahannya adem. Modelnya keren 😎. Bahan menyerap keringat. Bahannya lembut.,5
380,Kualitas produk bagus. Nyaman dipakai.,5
381,Harga sesuai dengan bahan dan fiting kaosnya. Udah beberapa kali belanja di sini.,5
382,Kualitas produk bagus.,5
383,Jahitannya rapi Ukuran sesuai Modelnya keren 😎,5
384,Kualitas produk bagus. Nyaman dipakai. Tidak menerawang. Jahitannya rapi. Modelnya keren 😎.,5
385,Kualitas produk bagus,5
386,Kualitas produk bagus. Jahitannya rapi. Cuman desain keranya agak melar bagi saya,5
387,"Kualitas produk bagus. Jahitannya rapi. Ukuran sesuai. Pengiriman agak lambat, response seller lambat",4
388,Nyaman dipakai. Kualitas produk bagus. Warnanya mantap. Bahan menyerap keringat. Ukuran sesuai. Modelnya keren 😎. Jahitannya rapi. Bahannya adem. Tidak menerawang. Bahannya lembut.,5
